"well","datetime","condition","wavelength","value","timepoint","time"
"G...6",2026-03-12 16:09:52,"Pp+Soil","GFP80",142,"t0",0
"H...6",2026-03-12 16:09:52,"M9","GFP80",133,"t0",0
"A...7",2026-03-12 16:09:52,"Bs","GFP80",134,"t0",0
"B...7",2026-03-12 16:09:52,"Bs+Soil","GFP80",136,"t0",0
"C...7",2026-03-12 16:09:52,"Soil","GFP80",133,"t0",0
"D...7",2026-03-12 16:09:52,"Bs+Pp","GFP80",136,"t0",0
"E...7",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",143,"t0",0
"F...7",2026-03-12 16:09:52,"Pp","GFP80",141,"t0",0
"G...7",2026-03-12 16:09:52,"Pp+Soil","GFP80",142,"t0",0
"H...7",2026-03-12 16:09:52,"M9","GFP80",128,"t0",0
"A...8",2026-03-12 16:09:52,"Bs","GFP80",134,"t0",0
"B...8",2026-03-12 16:09:52,"Bs+Soil","GFP80",133,"t0",0
"C...8",2026-03-12 16:09:52,"Soil","GFP80",134,"t0",0
"D...8",2026-03-12 16:09:52,"Bs+Pp","GFP80",136,"t0",0
"E...8",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",144,"t0",0
"F...8",2026-03-12 16:09:52,"Pp","GFP80",141,"t0",0
"G...8",2026-03-12 16:09:52,"Pp+Soil","GFP80",140,"t0",0
"H...8",2026-03-12 16:09:52,"M9","GFP80",132,"t0",0
"A...9",2026-03-12 16:09:52,"Bs","GFP80",135,"t0",0
"B...9",2026-03-12 16:09:52,"Bs+Soil","GFP80",134,"t0",0
"C...9",2026-03-12 16:09:52,"Soil","GFP80",133,"t0",0
"D...9",2026-03-12 16:09:52,"Bs+Pp","GFP80",136,"t0",0
"E...9",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",142,"t0",0
"F...9",2026-03-12 16:09:52,"Pp","GFP80",140,"t0",0
"G...9",2026-03-12 16:09:52,"Pp+Soil","GFP80",144,"t0",0
"H...9",2026-03-12 16:09:52,"M9","GFP80",135,"t0",0
"A...10",2026-03-12 16:09:52,"Bs","GFP80",133,"t0",0
"B...10",2026-03-12 16:09:52,"Bs+Soil","GFP80",133,"t0",0
"C...10",2026-03-12 16:09:52,"Soil","GFP80",136,"t0",0
"D...10",2026-03-12 16:09:52,"Bs+Pp","GFP80",135,"t0",0
"E...10",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",140,"t0",0
"F...10",2026-03-12 16:09:52,"Pp","GFP80",139,"t0",0
"G...10",2026-03-12 16:09:52,"Pp+Soil","GFP80",145,"t0",0
"H...10",2026-03-12 16:09:52,"M9","GFP80",137,"t0",0
"A...11",2026-03-12 16:09:52,"Bs","GFP80",134,"t0",0
"B...11",2026-03-12 16:09:52,"Bs+Soil","GFP80",135,"t0",0
"C...11",2026-03-12 16:09:52,"Soil","GFP80",132,"t0",0
"D...11",2026-03-12 16:09:52,"Bs+Pp","GFP80",136,"t0",0
"E...11",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",141,"t0",0
"F...11",2026-03-12 16:09:52,"Pp","GFP80",143,"t0",0
"G...11",2026-03-12 16:09:52,"Pp+Soil","GFP80",140,"t0",0
"H...11",2026-03-12 16:09:52,"M9","GFP80",136,"t0",0
"A...12",2026-03-12 16:09:52,"Bs","GFP80",131,"t0",0
"B...12",2026-03-12 16:09:52,"Bs+Soil","GFP80",134,"t0",0
"C...12",2026-03-12 16:09:52,"Soil","GFP80",135,"t0",0
"D...12",2026-03-12 16:09:52,"Bs+Pp","GFP80",133,"t0",0
